,precision,recall,f1-score,support
economic,0.8798449612403101,0.88671875,0.8832684824902723,256.0
entertainment,0.966183574879227,0.9523809523809523,0.9592326139088729,210.0
life,0.8252427184466019,0.8095238095238095,0.8173076923076923,210.0
politic,0.9688888888888889,0.9710467706013363,0.9699666295884316,449.0
sport,0.9764150943396226,0.9904306220095693,0.9833729216152018,209.0
technology,0.9238095238095239,0.9282296650717703,0.9260143198090692,209.0
accuracy,0.9293583927414129,0.9293583927414129,0.9293583927414129,0.9293583927414129
macro avg,0.9233974602673625,0.9230550949312396,0.9231937766199234,1543.0
weighted avg,0.929110750473251,0.9293583927414129,0.9292074828035429,1543.0
