,precision,recall,f1-score,support
economic,0.7630662020905923,0.85546875,0.8066298342541437,256.0
entertainment,0.8940092165898618,0.9238095238095239,0.9086651053864169,210.0
life,0.7884615384615384,0.5857142857142857,0.6721311475409836,210.0
politic,0.8841463414634146,0.9688195991091314,0.924548352816153,449.0
sport,0.9902912621359223,0.9760765550239234,0.983132530120482,209.0
technology,0.9297297297297298,0.8229665071770335,0.8730964467005076,209.0
accuracy,0.8729747245625405,0.8729747245625405,0.8729747245625405,0.8729747245625405
macro avg,0.8749507150785099,0.855475870138983,0.8613672361364477,1543.0
weighted avg,0.8729292941756189,0.8729747245625405,0.8694352023680197,1543.0
