,precision,recall,f1-score,support
economic,0.8932806324110671,0.8828125,0.888015717092338,256.0
entertainment,0.9423076923076923,0.9333333333333333,0.937799043062201,210.0
life,0.784037558685446,0.7952380952380952,0.789598108747045,210.0
politic,0.9482758620689655,0.9799554565701559,0.963855421686747,449.0
sport,0.9855072463768116,0.9760765550239234,0.9807692307692307,209.0
technology,0.9242424242424242,0.8755980861244019,0.8992628992628993,209.0
accuracy,0.9176928062216462,0.9176928062216462,0.9176928062216462,0.9176928062216462
macro avg,0.9129419026820678,0.9071690043816516,0.9098834034367433,1543.0
weighted avg,0.9177743926339456,0.9176928062216462,0.9175523168954276,1543.0
