,precision,recall,f1-score,support
economic,0.8653846153846154,0.87890625,0.872093023255814,256.0
entertainment,0.9656862745098039,0.9380952380952381,0.9516908212560387,210.0
life,0.8067632850241546,0.7952380952380952,0.8009592326139089,210.0
politic,0.9461206896551724,0.977728285077951,0.9616648411829135,449.0
sport,0.9808612440191388,0.9808612440191388,0.9808612440191388,209.0
technology,0.9296482412060302,0.8851674641148325,0.9068627450980392,209.0
accuracy,0.9189889825016202,0.9189889825016202,0.9189889825016202,0.9189889825016202
macro avg,0.9157440582998193,0.9093327627575426,0.9123553179043089,1543.0
weighted avg,0.9188966565831662,0.9189889825016202,0.9187518811942941,1543.0
